Date,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2020-10-24,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-25,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-26,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-27,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-28,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-29,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-30,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-31,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-01,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-02,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-03,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-04,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-05,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-06,yellow,yellow,red,yellow,yellow,yellow,yellow,yellow,red,yellow,yellow,red,yellow,red,orange,yellow,orange,yellow,yellow,red,yellow
2020-11-07,yellow,yellow,red,yellow,yellow,yellow,yellow,yellow,red,yellow,yellow,red,yellow,red,orange,yellow,orange,yellow,yellow,red,yellow
2020-11-08,yellow,yellow,red,yellow,yellow,yellow,yellow,yellow,red,yellow,yellow,red,yellow,red,orange,yellow,orange,yellow,yellow,red,yellow
2020-11-09,yellow,yellow,red,yellow,yellow,yellow,yellow,yellow,red,yellow,yellow,red,yellow,red,orange,yellow,orange,yellow,yellow,red,yellow
2020-11-10,yellow,yellow,red,yellow,yellow,yellow,yellow,yellow,red,yellow,yellow,red,yellow,red,orange,yellow,orange,yellow,yellow,red,yellow
2020-11-11,orange,orange,red,yellow,yellow,yellow,yellow,orange,red,yellow,yellow,red,yellow,red,orange,yellow,orange,orange,orange,red,yellow
2020-11-12,orange,orange,red,yellow,yellow,yellow,yellow,orange,red,yellow,yellow,red,yellow,red,orange,yellow,orange,orange,orange,red,yellow
2020-11-13,orange,orange,red,yellow,yellow,yellow,yellow,orange,red,yellow,yellow,red,yellow,red,orange,yellow,orange,orange,orange,red,yellow
2020-11-14,orange,orange,red,yellow,yellow,yellow,yellow,orange,red,yellow,yellow,red,yellow,red,orange,yellow,orange,orange,orange,red,yellow
2020-11-15,orange,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-16,orange,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-17,orange,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-18,red,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-19,red,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-20,red,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-21,red,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-22,red,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-23,red,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-24,red,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-25,red,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-26,red,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-27,red,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-28,red,orange,red,red,orange,orange,yellow,orange,red,orange,yellow,red,yellow,red,orange,yellow,orange,red,orange,red,yellow
2020-11-29,red,orange,orange,red,orange,orange,yellow,yellow,orange,orange,yellow,red,yellow,orange,orange,yellow,yellow,red,orange,red,yellow
2020-11-30,red,orange,orange,red,orange,orange,yellow,yellow,orange,orange,yellow,red,yellow,orange,orange,yellow,yellow,red,orange,red,yellow
2020-12-01,red,orange,orange,red,orange,orange,yellow,yellow,orange,orange,yellow,red,yellow,orange,orange,yellow,yellow,red,orange,red,yellow
2020-12-02,red,orange,orange,red,orange,orange,yellow,yellow,orange,orange,yellow,red,yellow,orange,orange,yellow,yellow,red,orange,red,yellow
2020-12-03,red,orange,orange,red,orange,orange,yellow,yellow,orange,orange,yellow,red,yellow,orange,orange,yellow,yellow,red,orange,red,yellow
2020-12-04,red,orange,orange,red,orange,orange,yellow,yellow,orange,orange,yellow,red,yellow,orange,orange,yellow,yellow,red,orange,red,yellow
2020-12-05,red,orange,orange,red,orange,orange,yellow,yellow,orange,orange,yellow,red,yellow,orange,orange,yellow,yellow,red,orange,red,yellow
2020-12-06,red,orange,orange,orange,yellow,yellow,yellow,yellow,orange,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-07,red,orange,orange,orange,yellow,yellow,yellow,yellow,orange,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-08,red,orange,orange,orange,yellow,yellow,yellow,yellow,orange,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-09,red,orange,orange,orange,yellow,yellow,yellow,yellow,orange,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-10,red,orange,orange,orange,yellow,yellow,yellow,yellow,orange,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-11,red,orange,orange,orange,yellow,yellow,yellow,yellow,orange,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-12,red,orange,orange,orange,yellow,yellow,yellow,yellow,orange,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-13,orange,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-14,orange,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-15,orange,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-16,orange,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-17,orange,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-18,orange,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-19,orange,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-20,orange,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,orange,yellow,orange,yellow
2020-12-21,orange,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow
2020-12-22,orange,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow
2020-12-23,orange,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow
2020-12-24,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red
2020-12-25,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red
2020-12-26,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red
2020-12-27,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
2020-12-28,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
2020-12-29,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
2020-12-30,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
2020-12-31,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red
2021-01-01,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red
2021-01-02,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red
2021-01-03,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red
2021-01-04,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
2021-01-05,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red
2021-01-06,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red
2021-01-07,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow
2021-01-08,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow
2021-01-09,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
2021-01-10,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
2021-01-11,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,orange
2021-01-12,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,orange
2021-01-13,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,orange
2021-01-14,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,orange
2021-01-15,yellow,yellow,orange,yellow,orange,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,orange
2021-01-16,orange,yellow,orange,yellow,orange,orange,orange,orange,red,orange,yellow,red,yellow,orange,orange,yellow,red,yellow,orange,orange,orange
2021-01-17,orange,yellow,orange,yellow,orange,orange,orange,orange,red,orange,yellow,red,yellow,orange,orange,yellow,red,yellow,orange,orange,orange
2021-01-18,orange,yellow,orange,yellow,orange,orange,orange,orange,red,orange,yellow,red,yellow,orange,orange,yellow,red,yellow,orange,orange,orange
2021-01-19,orange,yellow,orange,yellow,orange,orange,orange,orange,red,orange,yellow,red,yellow,orange,orange,yellow,red,yellow,orange,orange,orange
2021-01-20,orange,yellow,orange,yellow,orange,orange,orange,orange,red,orange,yellow,red,yellow,orange,orange,yellow,red,yellow,orange,orange,orange
2021-01-21,orange,yellow,orange,yellow,orange,orange,orange,orange,red,orange,yellow,red,yellow,orange,orange,yellow,red,yellow,orange,orange,orange
2021-01-22,orange,yellow,orange,yellow,orange,orange,orange,orange,red,orange,yellow,red,yellow,orange,orange,yellow,red,yellow,orange,orange,orange
2021-01-23,orange,yellow,orange,yellow,orange,orange,orange,orange,red,orange,yellow,red,yellow,orange,orange,yellow,red,yellow,orange,orange,orange
2021-01-24,orange,yellow,orange,yellow,orange,orange,orange,orange,orange,orange,yellow,red,yellow,orange,orange,orange,red,yellow,orange,orange,orange
2021-01-25,orange,yellow,orange,yellow,orange,orange,orange,orange,orange,orange,yellow,red,yellow,orange,orange,orange,red,yellow,orange,orange,orange
2021-01-26,orange,yellow,orange,yellow,orange,orange,orange,orange,orange,orange,yellow,red,yellow,orange,orange,orange,red,yellow,orange,orange,orange
2021-01-27,orange,yellow,orange,yellow,orange,orange,orange,orange,orange,orange,yellow,red,yellow,orange,orange,orange,red,yellow,orange,orange,orange
2021-01-28,orange,yellow,orange,yellow,orange,orange,orange,orange,orange,orange,yellow,red,yellow,orange,orange,orange,red,yellow,orange,orange,orange
2021-01-29,orange,yellow,orange,yellow,orange,orange,orange,orange,orange,orange,yellow,red,yellow,orange,orange,orange,red,yellow,orange,orange,orange
2021-01-30,orange,yellow,orange,yellow,orange,orange,orange,orange,orange,orange,yellow,red,yellow,orange,orange,orange,red,yellow,orange,orange,orange
